feature,n_pos,n_neg,mean_pos,mean_neg,cohen_d,u_stat,p_raw,p_bh,significant
f_anx_term_rate,3560,12822,0.026983343426436678,0.002330344801774908,2.6013604862303503,44553965.5,0.0,0.0,True
f_anx_phrase_count,3560,12822,0.2997191011235955,0.0448447980034316,0.7841659761894177,27635964.5,0.0,0.0,True
f_third_rate,3560,12822,0.008447436454091956,0.018291399758138562,-0.43370576273044814,17929532.5,3.117125657263926e-92,1.6209053417772413e-91,True
f_avg_word_len,3560,12822,4.252916647783567,4.115598172121298,0.39767669479229145,28443867.0,2.92405613252911e-112,1.9006364861439214e-111,True
f_sent_neg,3560,12822,0.15423370786516855,0.1314219310559975,0.3072295568795603,27680961.5,2.4076049225256266e-84,8.942532569380898e-84,True
f_first_plur_rate,3560,12822,0.0017275381672664436,0.004214833465277091,-0.2914288877712813,18812896.0,1.295662617816816e-89,5.614538010539536e-89,True
f_sent_compound,3560,12822,-0.3129751404494382,-0.09309218530650444,-0.27287095501352115,19527899.5,8.749407044672556e-40,1.7498814089345113e-39,True
f_reassurance_count,3560,12822,0.18932584269662922,0.10154422087037904,0.2628986194351288,24790731.0,2.131720914404512e-45,5.5424743774517314e-45,True
f_flesch,3560,12822,65.53388660931458,71.07993337646658,-0.2495077949119211,16321010.5,1.477267664790078e-149,1.2802986428180675e-148,True
f_n_sents,3560,12822,11.745505617977528,15.618000311963812,-0.2355238715054674,19336920.5,2.0683118323857413e-44,4.4813423035024397e-44,True
f_question_rate,3560,12822,0.011736788348858967,0.008305966379217482,0.23500310874861907,26180718.5,1.432488776305401e-44,3.3858825621764025e-44,True
f_n_tokens,3560,12822,177.7997191011236,234.7156449851817,-0.23002319328619744,20169614.5,2.1690135604324208e-26,4.028168040803067e-26,True
f_n_chars,3560,12822,955.3367977528089,1234.160817345188,-0.21338491597897113,20523559.0,3.207645800795914e-20,4.633266156705209e-20,True
f_suic_term_rate,3560,12822,0.00018518068906606035,0.001021461767389927,-0.20556711522471155,21090751.5,1.2372002049520906e-47,3.5741339254171506e-47,True
f_body_part_rate,3560,12822,0.006315254772957041,0.004441399873671775,0.19443761981875116,25111478.0,2.6776214524778215e-24,4.6412105176282246e-24,True
f_sent_pos,3560,12822,0.10504578651685394,0.11529925128685073,-0.1677699136932088,20409044.0,4.0110990771303654e-22,6.518036000336844e-22,True
f_health_anx_term_rate,3560,12822,0.0010656629641233597,0.000505875704111299,0.16551534552747357,23787553.0,8.857888149568906e-19,1.212132062572587e-18,True
f_sent_neu,3560,12822,0.7407216292134832,0.7532795195757293,-0.15051901417056374,20428199.5,8.486232341683337e-22,1.2978943581398044e-21,True
f_dep_term_rate,3560,12822,0.0030194142928504364,0.004026018628999456,-0.11718943789723464,21020878.5,8.858475164944465e-18,1.1516017714427804e-17,True
f_gunning_fog,3560,12822,11.211317652524047,10.296153400391287,0.1108796970018046,27162826.5,1.0925400760368738e-67,3.55075524711984e-67,True
f_second_rate,3560,12822,0.009917277903364063,0.008097173646906401,0.09817881118613,23869833.5,3.529050499893967e-06,4.170696045329234e-06,True
f_certainty_rate,3560,12822,0.008988791742748364,0.008340325912497774,0.05189804212755211,23028089.0,0.38640546040416635,0.43680617263079674,False
f_avg_sent_len,3560,12822,16.415006553119714,15.929504247905943,0.046667450730128165,24201993.0,3.325523396278825e-08,4.117314681107117e-08,True
f_uncertainty_rate,3560,12822,0.008325992182443936,0.007906181876642314,0.03383962909011992,22770368.0,0.8228739767198701,0.8228739767198701,False
f_first_sing_rate,3560,12822,0.09820033960224768,0.09940289499906534,-0.027454317014250162,23014070.5,0.4444163475149753,0.48145104314122317,False
f_health_anx_phrase_count,3560,12822,0.007303370786516854,0.008267041023241304,-0.010778529097212941,22801166.0,0.5693865931004771,0.5921620568244962,False
